event_id,user_id,event_type,event_time,product_id,revenue
1,1,view,2026-04-01,861,0
2,1,click,2026-04-01,861,0
3,1,view,2025-10-24,615,0
4,1,view,2025-12-17,459,0
5,1,view,2026-01-11,872,0
6,1,view,2026-03-02,309,0
7,1,view,2026-03-10,806,0
8,1,click,2026-03-10,806,0
9,1,view,2026-03-13,460,0
10,1,view,2025-12-31,561,0
11,1,view,2026-03-22,476,0
12,1,view,2025-10-18,190,0
13,1,click,2025-10-18,190,0
14,1,view,2026-01-19,567,0
15,2,view,2026-02-26,485,0
16,2,view,2025-11-08,841,0
17,2,click,2025-11-08,841,0
18,2,view,2025-12-17,14,0
19,2,view,2025-10-27,346,0
20,2,click,2025-10-27,346,0
21,2,view,2026-02-06,956,0
22,2,click,2026-02-06,956,0
23,2,view,2026-04-11,35,0
24,2,view,2026-03-31,562,0
25,2,view,2025-10-20,390,0
26,2,click,2025-10-20,390,0
27,2,view,2026-03-13,730,0
28,2,view,2025-11-01,863,0
29,2,view,2025-11-27,725,0
30,2,view,2026-01-08,879,0
31,2,view,2026-03-21,217,0
32,2,click,2026-03-21,217,0
33,3,view,2026-08-23,15,0
34,3,click,2026-08-23,15,0
35,3,add_to_cart,2026-08-23,15,0
36,3,view,2026-07-26,648,0
37,3,click,2026-07-26,648,0
38,3,view,2026-06-08,392,0
39,3,view,2026-04-21,379,0
40,3,click,2026-04-21,379,0
41,3,add_to_cart,2026-04-21,379,0
42,3,purchase,2026-04-21,379,700
43,3,view,2026-05-30,780,0
44,3,view,2026-05-06,503,0
45,3,view,2026-04-25,99,0
46,3,view,2026-04-23,961,0
47,3,view,2026-09-10,462,0
48,3,view,2026-03-24,218,0
49,3,click,2026-03-24,218,0
50,3,add_to_cart,2026-03-24,218,0
51,3,purchase,2026-03-24,218,706
52,3,view,2026-04-03,858,0
53,3,click,2026-04-03,858,0
54,3,add_to_cart,2026-04-03,858,0
55,3,purchase,2026-04-03,858,3290
56,3,view,2026-05-10,96,0
57,3,view,2026-08-17,231,0
58,4,view,2026-04-01,36,0
59,4,view,2026-05-13,699,0
60,4,view,2026-03-31,578,0
61,4,view,2026-05-04,953,0
62,4,click,2026-05-04,953,0
63,4,view,2026-06-19,556,0
64,4,view,2026-05-17,640,0
65,4,view,2026-06-03,473,0
66,4,view,2026-07-10,377,0
67,4,view,2026-07-02,628,0
68,4,view,2026-03-06,359,0
69,4,click,2026-03-06,359,0
70,4,view,2026-05-04,677,0
71,4,view,2026-08-22,664,0
72,4,view,2026-06-29,672,0
73,4,view,2026-08-30,113,0
74,4,click,2026-08-30,113,0
75,4,add_to_cart,2026-08-30,113,0
76,4,view,2026-04-11,386,0
77,5,view,2026-04-08,952,0
78,5,click,2026-04-08,952,0
79,5,view,2026-04-25,220,0
80,5,click,2026-04-25,220,0
81,5,add_to_cart,2026-04-25,220,0
82,5,view,2026-05-12,638,0
83,5,click,2026-05-12,638,0
84,5,add_to_cart,2026-05-12,638,0
85,5,view,2026-05-25,247,0
86,5,view,2026-04-18,401,0
87,5,view,2026-01-09,837,0
88,5,view,2026-05-04,511,0
89,5,click,2026-05-04,511,0
90,5,view,2026-04-19,187,0
91,5,click,2026-04-19,187,0
92,5,add_to_cart,2026-04-19,187,0
93,5,view,2026-05-29,403,0
94,6,view,2026-08-18,148,0
95,6,view,2026-05-15,489,0
96,6,view,2026-07-30,551,0
97,6,view,2026-07-31,779,0
98,6,click,2026-07-31,779,0
99,6,add_to_cart,2026-07-31,779,0
100,6,view,2026-05-05,611,0
101,6,click,2026-05-05,611,0
102,6,add_to_cart,2026-05-05,611,0
103,6,view,2026-05-23,881,0
104,6,click,2026-05-23,881,0
105,6,add_to_cart,2026-05-23,881,0
106,6,view,2026-04-30,160,0
107,6,view,2026-04-02,233,0
108,6,click,2026-04-02,233,0
109,6,view,2026-08-02,404,0
110,6,view,2026-07-22,673,0
111,6,view,2026-06-07,625,0
112,6,click,2026-06-07,625,0
113,6,view,2026-06-16,254,0
114,6,click,2026-06-16,254,0
115,6,add_to_cart,2026-06-16,254,0
116,6,view,2026-06-25,914,0
117,6,click,2026-06-25,914,0
118,6,view,2026-05-17,163,0
119,6,view,2026-09-09,996,0
120,6,view,2026-04-26,398,0
121,6,click,2026-04-26,398,0
122,6,view,2026-07-30,392,0
123,6,view,2026-08-16,640,0
124,6,view,2026-07-17,470,0
125,6,click,2026-07-17,470,0
126,6,add_to_cart,2026-07-17,470,0
127,7,view,2026-04-26,438,0
128,7,view,2026-04-02,226,0
129,7,view,2026-06-11,284,0
130,7,view,2026-05-06,816,0
131,7,click,2026-05-06,816,0
132,7,add_to_cart,2026-05-06,816,0
133,7,view,2026-03-23,172,0
134,7,view,2026-04-21,373,0
135,7,view,2026-07-08,745,0
136,7,view,2026-06-07,497,0
137,7,view,2026-06-09,99,0
138,7,view,2026-06-30,191,0
139,7,view,2026-08-13,983,0
140,7,click,2026-08-13,983,0
141,7,view,2026-03-24,793,0
142,7,view,2026-04-29,570,0
143,7,view,2026-08-27,792,0
144,7,click,2026-08-27,792,0
145,7,view,2026-08-04,962,0
146,7,click,2026-08-04,962,0
147,7,add_to_cart,2026-08-04,962,0
148,7,view,2026-06-18,929,0
149,7,click,2026-06-18,929,0
150,7,view,2026-04-14,477,0
151,7,click,2026-04-14,477,0
152,8,view,2026-08-08,408,0
153,8,view,2026-07-21,825,0
154,8,view,2026-03-28,321,0
155,8,click,2026-03-28,321,0
156,8,add_to_cart,2026-03-28,321,0
157,8,purchase,2026-03-28,321,1666
158,8,view,2026-06-08,354,0
159,8,click,2026-06-08,354,0
160,8,view,2026-06-02,51,0
161,8,view,2026-05-10,190,0
162,8,click,2026-05-10,190,0
163,9,view,2025-12-18,692,0
164,9,click,2025-12-18,692,0
165,9,add_to_cart,2025-12-18,692,0
166,9,view,2026-02-08,993,0
167,9,view,2025-12-29,620,0
168,9,view,2025-11-05,877,0
169,9,click,2025-11-05,877,0
170,9,add_to_cart,2025-11-05,877,0
171,9,view,2026-04-16,820,0
172,9,click,2026-04-16,820,0
173,9,view,2026-02-13,670,0
174,9,click,2026-02-13,670,0
175,9,add_to_cart,2026-02-13,670,0
176,9,view,2025-12-27,951,0
177,9,click,2025-12-27,951,0
178,9,add_to_cart,2025-12-27,951,0
179,9,purchase,2025-12-27,951,1650
180,9,view,2026-03-16,908,0
181,9,view,2025-12-27,634,0
182,9,click,2025-12-27,634,0
183,9,add_to_cart,2025-12-27,634,0
184,9,view,2025-12-17,601,0
185,10,view,2026-05-20,272,0
186,10,view,2026-03-21,790,0
187,10,view,2026-03-28,154,0
188,10,view,2026-04-07,697,0
189,10,view,2026-03-21,47,0
190,10,click,2026-03-21,47,0
191,10,view,2026-06-04,218,0
192,10,view,2026-04-06,551,0
193,10,view,2026-04-22,23,0
194,10,click,2026-04-22,23,0
195,10,view,2026-04-21,802,0
196,10,click,2026-04-21,802,0
197,10,add_to_cart,2026-04-21,802,0
198,11,view,2026-03-31,325,0
199,11,view,2026-04-15,792,0
200,11,view,2026-04-01,497,0
201,11,view,2026-09-06,475,0
202,11,view,2026-08-17,690,0
203,11,view,2026-05-02,929,0
204,11,view,2026-09-17,613,0
205,11,view,2026-06-03,417,0
206,11,view,2026-05-12,556,0
207,11,click,2026-05-12,556,0
208,11,add_to_cart,2026-05-12,556,0
209,11,view,2026-05-04,727,0
210,11,click,2026-05-04,727,0
211,11,add_to_cart,2026-05-04,727,0
212,11,view,2026-06-28,418,0
213,11,click,2026-06-28,418,0
214,11,view,2026-05-27,501,0
215,11,view,2026-06-13,413,0
216,11,click,2026-06-13,413,0
217,11,view,2026-09-10,394,0
218,11,view,2026-08-29,192,0
