user_id,signup_date,country,device
1,2025-10-04,US,Desktop
2,2025-10-19,UK,Mobile
3,2026-03-20,IN,Mobile
4,2026-03-04,US,Tablet
5,2025-12-17,UK,Tablet
6,2026-03-25,US,Mobile
7,2026-03-07,UK,Mobile
8,2026-03-09,US,Desktop
9,2025-10-31,UK,Mobile
10,2026-01-12,US,Mobile
11,2026-03-31,IN,Desktop
12,2026-03-11,IN,Mobile
13,2025-12-31,IN,Mobile
14,2026-01-07,US,Mobile
15,2026-01-06,US,Desktop
16,2026-02-11,IN,Desktop
17,2025-11-16,IN,Mobile
18,2026-02-19,IN,Desktop
19,2026-01-28,IN,Mobile
20,2025-10-26,US,Mobile
21,2025-11-26,UK,Desktop
22,2025-10-20,UK,Mobile
23,2025-10-19,UK,Mobile
24,2025-10-08,US,Desktop
25,2025-12-08,IN,Mobile
26,2026-02-11,IN,Desktop
27,2026-01-30,IN,Mobile
28,2026-01-03,IN,Mobile
29,2025-12-26,US,Mobile
30,2025-12-01,UK,Mobile
31,2026-01-31,UK,Mobile
32,2026-03-17,US,Mobile
33,2026-03-09,IN,Desktop
34,2025-10-13,UK,Mobile
35,2025-12-27,US,Mobile
36,2025-11-04,US,Mobile
37,2026-01-22,IN,Mobile
38,2026-03-14,IN,Desktop
39,2026-01-25,US,Mobile
40,2026-01-01,UK,Mobile
41,2025-12-25,IN,Mobile
42,2026-01-09,US,Desktop
43,2026-02-03,US,Desktop
44,2026-02-09,UK,Mobile
45,2026-01-12,UK,Mobile
46,2026-02-17,IN,Mobile
47,2026-02-14,IN,Mobile
48,2026-03-14,UK,Mobile
49,2026-03-10,UK,Mobile
50,2026-03-27,US,Mobile
51,2025-12-22,IN,Tablet
52,2026-02-27,UK,Mobile
53,2026-02-03,UK,Mobile
54,2025-11-28,US,Mobile
55,2026-02-11,US,Mobile
56,2026-02-20,US,Mobile
57,2026-02-11,US,Desktop
58,2025-11-30,IN,Desktop
59,2026-02-08,UK,Mobile
60,2025-12-09,UK,Mobile
61,2026-02-03,IN,Mobile
62,2025-10-28,US,Desktop
63,2025-10-26,IN,Desktop
64,2025-12-07,UK,Desktop
65,2025-10-08,UK,Mobile
66,2025-12-08,UK,Mobile
67,2026-01-19,UK,Desktop
68,2025-11-19,US,Desktop
69,2026-01-08,IN,Mobile
70,2026-03-09,US,Mobile
71,2026-02-24,UK,Mobile
72,2026-01-15,IN,Mobile
73,2026-02-13,IN,Tablet
74,2026-01-01,IN,Mobile
75,2026-03-02,UK,Mobile
76,2026-02-13,IN,Mobile
77,2026-02-21,IN,Mobile
78,2025-10-12,IN,Mobile
79,2026-03-15,UK,Desktop
80,2026-03-22,UK,Mobile
81,2026-03-02,UK,Mobile
82,2025-11-14,US,Mobile
83,2026-03-17,UK,Mobile
84,2026-01-13,US,Mobile
85,2026-02-12,US,Mobile
86,2025-11-10,UK,Mobile
87,2025-11-14,UK,Mobile
88,2026-01-13,IN,Desktop
89,2026-01-07,IN,Desktop
90,2025-12-10,US,Desktop
91,2026-02-14,US,Desktop
92,2026-03-18,UK,Desktop
93,2025-10-26,US,Mobile
94,2025-11-20,US,Mobile
95,2026-02-18,IN,Mobile
96,2026-03-15,IN,Mobile
97,2025-12-14,IN,Desktop
98,2026-02-26,US,Mobile
99,2026-01-23,UK,Mobile
100,2025-12-07,US,Desktop
101,2026-02-20,UK,Desktop
102,2025-11-28,UK,Mobile
103,2026-01-05,US,Desktop
104,2026-01-06,UK,Mobile
105,2026-01-21,UK,Desktop
106,2026-01-30,UK,Desktop
107,2025-10-11,IN,Desktop
108,2025-11-23,IN,Mobile
109,2026-02-25,IN,Mobile
110,2025-11-15,US,Desktop
111,2026-02-28,US,Tablet
112,2025-12-22,US,Mobile
113,2026-03-25,US,Mobile
114,2025-11-17,US,Mobile
115,2026-03-12,US,Desktop
116,2025-10-04,US,Desktop
117,2025-10-29,IN,Mobile
118,2026-03-14,IN,Mobile
119,2025-12-11,IN,Tablet
120,2026-02-22,US,Desktop
121,2026-01-17,US,Mobile
122,2026-03-27,US,Desktop
123,2026-01-02,IN,Desktop
124,2026-01-08,IN,Desktop
125,2025-10-09,IN,Desktop
126,2026-01-03,IN,Mobile
127,2025-11-28,IN,Mobile
128,2026-03-28,US,Mobile
129,2026-03-26,IN,Mobile
130,2026-02-27,US,Mobile
131,2025-12-10,US,Desktop
132,2026-02-10,IN,Mobile
133,2026-03-05,IN,Mobile
134,2025-12-19,UK,Mobile
135,2026-03-31,US,Tablet
136,2026-02-20,US,Mobile
137,2026-01-10,IN,Mobile
138,2025-11-22,UK,Desktop
139,2026-01-30,US,Mobile
140,2026-03-11,IN,Desktop
141,2026-03-03,IN,Desktop
142,2026-02-23,US,Mobile
143,2026-02-16,UK,Desktop
144,2025-11-22,UK,Mobile
145,2026-01-12,UK,Mobile
146,2026-03-25,US,Tablet
147,2025-10-10,IN,Desktop
148,2026-01-28,UK,Desktop
149,2026-01-24,US,Desktop
150,2025-10-20,UK,Mobile
151,2026-01-03,IN,Desktop
152,2026-01-08,UK,Mobile
153,2026-02-28,UK,Mobile
154,2026-03-11,UK,Mobile
155,2026-02-05,UK,Mobile
156,2025-11-06,IN,Desktop
157,2026-03-23,IN,Desktop
158,2025-12-10,US,Mobile
159,2025-12-07,IN,Mobile
160,2025-10-20,IN,Desktop
161,2025-11-21,IN,Mobile
162,2026-02-20,IN,Desktop
163,2025-10-21,US,Tablet
164,2026-01-15,UK,Desktop
165,2025-12-27,IN,Mobile
166,2025-11-15,UK,Mobile
167,2026-03-08,IN,Mobile
168,2026-02-14,IN,Desktop
169,2025-10-07,US,Mobile
170,2026-02-05,IN,Desktop
171,2026-02-22,UK,Desktop
172,2026-03-26,UK,Desktop
173,2025-12-04,US,Mobile
174,2026-01-07,US,Mobile
175,2025-12-25,UK,Tablet
176,2026-03-11,IN,Mobile
177,2026-01-24,IN,Tablet
178,2025-11-26,UK,Mobile
179,2026-02-02,IN,Tablet
180,2025-12-10,IN,Mobile
181,2026-02-26,US,Mobile
182,2026-02-23,UK,Desktop
183,2025-11-14,IN,Mobile
184,2025-10-04,UK,Mobile
185,2026-03-05,UK,Desktop
186,2026-02-15,IN,Mobile
187,2026-03-30,IN,Desktop
188,2026-03-12,IN,Mobile
189,2026-03-28,UK,Desktop
190,2026-03-23,US,Mobile
191,2026-03-18,IN,Mobile
192,2026-01-19,IN,Mobile
193,2026-02-07,US,Mobile
194,2025-10-04,UK,Desktop
195,2026-02-28,UK,Mobile
196,2025-12-20,UK,Mobile
197,2025-10-05,US,Mobile
198,2025-12-13,IN,Mobile
199,2026-01-01,UK,Desktop
200,2026-02-28,UK,Mobile
201,2025-12-01,IN,Mobile
202,2025-10-09,IN,Mobile
203,2026-02-11,UK,Desktop
204,2025-11-20,US,Mobile
205,2025-11-17,US,Desktop
206,2025-10-13,US,Mobile
207,2026-03-14,UK,Desktop
208,2026-03-21,UK,Mobile
209,2025-10-20,IN,Desktop
210,2026-03-26,IN,Mobile
